Ref,Val,Package,PosX,PosY,Rot,Side
"C8","100n","C_0603_1608Metric",82.032000,74.892000,90.000000,top
"C28","100n","C_0603_1608Metric",119.827200,7.455000,0.000000,top
"C39","1u","C_0805_2012Metric",48.250000,22.060000,180.000000,top
"C40","1u","C_0805_2012Metric",70.856000,23.584000,0.000000,top
"C41","1u","C_0805_2012Metric",70.856000,21.552000,0.000000,top
"C42","1u","C_0805_2012Metric",70.856000,31.712000,0.000000,top
"C43","1u","C_0805_2012Metric",70.856000,29.680000,0.000000,top
"C44","1u","C_0805_2012Metric",70.856000,27.648000,0.000000,top
"C45","1u","C_0805_2012Metric",70.856000,25.616000,0.000000,top
"C49","15p","C_0603_1608Metric",28.438000,69.431000,270.000000,top
"C50","15p","C_0603_1608Metric",30.089000,68.542000,270.000000,top
"C61","100n","C_0603_1608Metric",46.980000,75.908000,0.000000,top
"C73","15p","C_0603_1608Metric",28.565000,27.394000,270.000000,top
"C74","15p","C_0603_1608Metric",30.216000,26.632000,270.000000,top
"C85","100n","C_0603_1608Metric",46.980000,33.871000,0.000000,top
"C97","15p","C_0603_1608Metric",28.565000,48.349000,270.000000,top
"C98","15p","C_0603_1608Metric",30.216000,47.587000,270.000000,top
"C109","100n","C_0603_1608Metric",46.980000,54.826000,0.000000,top
"C120","47u","C_0805_2012Metric",26.152000,14.440000,270.000000,top
"C121","100n","C_0603_1608Metric",23.104000,14.440000,270.000000,top
"C124","100n","C_0805_2012Metric",154.168000,40.348000,180.000000,top
"C125","47u","C_0805_2012Metric",149.088000,42.380000,180.000000,top
"C128","100n","C_0805_2012Metric",154.246500,29.680000,180.000000,top
"C129","47u","C_0805_2012Metric",154.168000,42.380000,0.000000,top
"C134","33p","C_0603_1608Metric",64.252000,81.496000,0.000000,top
"C136","33p","C_0603_1608Metric",63.236000,83.020000,180.000000,top
"C138","100n","C_0603_1608Metric",54.600000,73.876000,180.000000,top
"C166","33p","C_0603_1608Metric",64.252000,56.096000,0.000000,top
"C168","33p","C_0603_1608Metric",63.236000,57.620000,180.000000,top
"C170","100n","C_0603_1608Metric",54.600000,48.476000,180.000000,top
"C194","100n","C_0805_2012Metric",18.405000,5.550000,90.000000,top
"C196","47u","C_0805_2012Metric",42.408000,6.312000,0.000000,top
"C197","100n","C_0603_1608Metric",42.408000,4.534000,0.000000,top
"C198","100n","C_0805_2012Metric",46.345000,5.550000,90.000000,top
"C200","100n","C_0805_2012Metric",73.396000,4.915000,180.000000,top
"C202","47u","C_0805_2012Metric",97.780000,6.312000,0.000000,top
"C203","100n","C_0603_1608Metric",97.780000,4.534000,0.000000,top
"C204","47u","C_0805_2012Metric",130.546000,27.521000,270.000000,top
"C206","100n","C_0603_1608Metric",128.514000,27.673500,270.000000,top
"C207","100n","C_0603_1608Metric",124.577000,24.473000,0.000000,top
"C208","820p","C_0603_1608Metric",118.608000,27.521000,270.000000,top
"C209","47u","C_0805_2012Metric",129.784000,24.346000,180.000000,top
"C210","47u","C_0805_2012Metric",129.784000,22.314000,180.000000,top
"C211","22u","C_0805_2012Metric",130.546000,42.634000,270.000000,top
"C213","100n","C_0603_1608Metric",128.514000,42.634000,270.000000,top
"C214","100n","C_0603_1608Metric",124.704000,39.586000,0.000000,top
"C215","100p","C_0603_1608Metric",118.735000,42.634000,270.000000,top
"C216","22u","C_0805_2012Metric",129.784000,39.586000,180.000000,top
"C217","22u","C_0805_2012Metric",129.784000,37.554000,180.000000,top
"C218","22u","C_0805_2012Metric",129.784000,35.522000,180.000000,top
"C219","1n","C_0603_1608Metric",110.988000,77.051000,0.000000,top
"C220","47u","C_1210_3225Metric",110.988000,69.812000,0.000000,top
"C221","22u","C_0805_2012Metric",130.546000,57.874000,270.000000,top
"C223","100n","C_0603_1608Metric",128.514000,57.874000,270.000000,top
